[   0.0m] =================================================================
[   0.0m] SSEE-V3.6 — MCMC PROFESIONAL (overnight)
[   0.0m] =================================================================
[   0.0m] w0=-0.8399  wa=-0.6700  Om_dyn=0.1601  Om_cosm=0.3199  KAL0=5.5214
[   0.0m] 
[SSEE-V3.6]  ndim=2  100w × 25000s  (guardado cada 500)
[   0.0m]   Burn-in: 5000 pasos...
[   5.4m]   Burn-in completo. Iniciando producción...
[   5.9m]   SSEE-V3.6: 500/25000 pasos  aceptación=0.718
[   6.4m]   SSEE-V3.6: 1000/25000 pasos  aceptación=0.719
[   7.0m]   SSEE-V3.6: 1500/25000 pasos  aceptación=0.718
[   7.5m]   SSEE-V3.6: 2000/25000 pasos  aceptación=0.718
[   8.1m]   SSEE-V3.6: 2500/25000 pasos  aceptación=0.717
[   8.6m]   SSEE-V3.6: 3000/25000 pasos  aceptación=0.717
[   9.2m]   SSEE-V3.6: 3500/25000 pasos  aceptación=0.716
[   9.7m]   SSEE-V3.6: 4000/25000 pasos  aceptación=0.717
[  10.2m]   SSEE-V3.6: 4500/25000 pasos  aceptación=0.717
[  10.8m]   SSEE-V3.6: 5000/25000 pasos  aceptación=0.717
[  11.3m]   SSEE-V3.6: 5500/25000 pasos  aceptación=0.717
[  11.8m]   SSEE-V3.6: 6000/25000 pasos  aceptación=0.717
[  12.4m]   SSEE-V3.6: 6500/25000 pasos  aceptación=0.716
[  12.9m]   SSEE-V3.6: 7000/25000 pasos  aceptación=0.716
[  13.5m]   SSEE-V3.6: 7500/25000 pasos  aceptación=0.716
[  14.0m]   SSEE-V3.6: 8000/25000 pasos  aceptación=0.716
[  14.5m]   SSEE-V3.6: 8500/25000 pasos  aceptación=0.716
[  15.1m]   SSEE-V3.6: 9000/25000 pasos  aceptación=0.716
[  15.6m]   SSEE-V3.6: 9500/25000 pasos  aceptación=0.716
[  16.2m]   SSEE-V3.6: 10000/25000 pasos  aceptación=0.716
[  16.7m]   SSEE-V3.6: 10500/25000 pasos  aceptación=0.716
[  17.3m]   SSEE-V3.6: 11000/25000 pasos  aceptación=0.716
[  17.9m]   SSEE-V3.6: 11500/25000 pasos  aceptación=0.716
[  18.4m]   SSEE-V3.6: 12000/25000 pasos  aceptación=0.716
[  18.9m]   SSEE-V3.6: 12500/25000 pasos  aceptación=0.716
[  19.5m]   SSEE-V3.6: 13000/25000 pasos  aceptación=0.716
[  20.0m]   SSEE-V3.6: 13500/25000 pasos  aceptación=0.716
[  20.6m]   SSEE-V3.6: 14000/25000 pasos  aceptación=0.716
[  21.1m]   SSEE-V3.6: 14500/25000 pasos  aceptación=0.715
[  21.7m]   SSEE-V3.6: 15000/25000 pasos  aceptación=0.715
[  22.2m]   SSEE-V3.6: 15500/25000 pasos  aceptación=0.715
[  22.8m]   SSEE-V3.6: 16000/25000 pasos  aceptación=0.716
