[   0.0m] =================================================================
[   0.0m] SSEE-V3.6 — MCMC PROFESIONAL (overnight)
[   0.0m] =================================================================
[   0.0m] w0=-0.8399  wa=-0.6700  Om_total=0.30889 (geometría)  Om_sector_frío=0.1601  KAL0=5.5214
[   0.0m] 
[SSEE-V3.6]  ndim=2  100w × 25000s  (guardado cada 500)
[   0.0m]   Burn-in: 5000 pasos...
[   5.7m]   Burn-in completo. Iniciando producción...
[   6.2m]   SSEE-V3.6: 500/25000 pasos  aceptación=0.713
[   6.8m]   SSEE-V3.6: 1000/25000 pasos  aceptación=0.714
[   7.4m]   SSEE-V3.6: 1500/25000 pasos  aceptación=0.715
[   8.0m]   SSEE-V3.6: 2000/25000 pasos  aceptación=0.716
[   8.5m]   SSEE-V3.6: 2500/25000 pasos  aceptación=0.715
[   9.1m]   SSEE-V3.6: 3000/25000 pasos  aceptación=0.715
[   9.7m]   SSEE-V3.6: 3500/25000 pasos  aceptación=0.715
[  10.3m]   SSEE-V3.6: 4000/25000 pasos  aceptación=0.715
[  10.9m]   SSEE-V3.6: 4500/25000 pasos  aceptación=0.715
[  11.4m]   SSEE-V3.6: 5000/25000 pasos  aceptación=0.715
[  12.0m]   SSEE-V3.6: 5500/25000 pasos  aceptación=0.716
[  12.6m]   SSEE-V3.6: 6000/25000 pasos  aceptación=0.716
[  13.2m]   SSEE-V3.6: 6500/25000 pasos  aceptación=0.716
[  13.8m]   SSEE-V3.6: 7000/25000 pasos  aceptación=0.716
[  14.4m]   SSEE-V3.6: 7500/25000 pasos  aceptación=0.716
[  15.0m]   SSEE-V3.6: 8000/25000 pasos  aceptación=0.716
[  15.6m]   SSEE-V3.6: 8500/25000 pasos  aceptación=0.715
[  16.2m]   SSEE-V3.6: 9000/25000 pasos  aceptación=0.716
[  16.8m]   SSEE-V3.6: 9500/25000 pasos  aceptación=0.716
[  17.4m]   SSEE-V3.6: 10000/25000 pasos  aceptación=0.716
[  18.0m]   SSEE-V3.6: 10500/25000 pasos  aceptación=0.716
[  18.6m]   SSEE-V3.6: 11000/25000 pasos  aceptación=0.715
[  19.2m]   SSEE-V3.6: 11500/25000 pasos  aceptación=0.715
[  19.8m]   SSEE-V3.6: 12000/25000 pasos  aceptación=0.715
[  20.4m]   SSEE-V3.6: 12500/25000 pasos  aceptación=0.715
[  21.0m]   SSEE-V3.6: 13000/25000 pasos  aceptación=0.715
[  21.6m]   SSEE-V3.6: 13500/25000 pasos  aceptación=0.715
[  22.3m]   SSEE-V3.6: 14000/25000 pasos  aceptación=0.715
[  22.9m]   SSEE-V3.6: 14500/25000 pasos  aceptación=0.715
[  23.5m]   SSEE-V3.6: 15000/25000 pasos  aceptación=0.716
[  24.1m]   SSEE-V3.6: 15500/25000 pasos  aceptación=0.716
[  24.8m]   SSEE-V3.6: 16000/25000 pasos  aceptación=0.716
[  25.4m]   SSEE-V3.6: 16500/25000 pasos  aceptación=0.716
[  26.1m]   SSEE-V3.6: 17000/25000 pasos  aceptación=0.716
[  26.8m]   SSEE-V3.6: 17500/25000 pasos  aceptación=0.716
[  27.5m]   SSEE-V3.6: 18000/25000 pasos  aceptación=0.716
[  28.3m]   SSEE-V3.6: 18500/25000 pasos  aceptación=0.716
[  29.1m]   SSEE-V3.6: 19000/25000 pasos  aceptación=0.716
[  29.8m]   SSEE-V3.6: 19500/25000 pasos  aceptación=0.716
[  30.5m]   SSEE-V3.6: 20000/25000 pasos  aceptación=0.716
[  31.2m]   SSEE-V3.6: 20500/25000 pasos  aceptación=0.716
[  31.8m]   SSEE-V3.6: 21000/25000 pasos  aceptación=0.716
[  32.5m]   SSEE-V3.6: 21500/25000 pasos  aceptación=0.716
[  33.3m]   SSEE-V3.6: 22000/25000 pasos  aceptación=0.716
[  34.0m]   SSEE-V3.6: 22500/25000 pasos  aceptación=0.716
[  34.7m]   SSEE-V3.6: 23000/25000 pasos  aceptación=0.716
[  35.4m]   SSEE-V3.6: 23500/25000 pasos  aceptación=0.716
[  36.2m]   SSEE-V3.6: 24000/25000 pasos  aceptación=0.716
[  36.9m]   SSEE-V3.6: 24500/25000 pasos  aceptación=0.716
[  37.6m]   SSEE-V3.6: 25000/25000 pasos  aceptación=0.716
[  37.8m]   τ_max=31.7  N_eff≈78750  ln P_MAP=-5.85
[  37.8m] 
[ΛCDM]  ndim=3  100w × 25000s  (guardado cada 500)
[  37.8m]   Burn-in: 5000 pasos...
[  41.7m]   Burn-in completo. Iniciando producción...
