# Matter power spectrum P(k) at redshift z=0
# for k=1.03926e-05 to 5.21402 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039263932848e-05       4.909487872037e+01 
       1.308355774624e-05       6.131830375133e+01 
       1.647122332341e-05       7.658487536893e+01 
       2.073604160518e-05       9.565195612672e+01 
       2.610512971679e-05       1.194653793822e+02 
       3.286441117864e-05       1.492057164509e+02 
       4.137384237645e-05       1.863466195070e+02 
       5.208658155128e-05       2.327266672505e+02 
       6.557312112839e-05       2.906382631440e+02 
       8.255166851919e-05       3.629372803928e+02 
       1.039263932848e-04       4.531766166467e+02 
       1.308355774624e-04       5.657687764267e+02 
       1.647122332341e-04       7.061822570273e+02 
       2.073604160518e-04       8.811825295785e+02 
       2.610512971679e-04       1.099142141712e+03 
       3.286441117864e-04       1.370468070922e+03 
       4.137384237645e-04       1.708199489260e+03 
       5.208658155128e-04       2.128715089058e+03 
       6.557312112839e-04       2.652215389067e+03 
       8.255166851919e-04       3.302506662511e+03 
       1.039263932848e-03       4.106049610578e+03 
       1.308355774624e-03       5.090826811202e+03 
       1.647122332341e-03       6.285174442593e+03 
       2.073604160518e-03       7.716567120161e+03 
       2.610512971679e-03       9.407550878034e+03 
       3.286441117864e-03       1.136922767110e+04 
       4.137384237645e-03       1.359163694008e+04 
       5.208658155128e-03       1.603128614189e+04 
       6.557312112839e-03       1.859646872928e+04 
       8.255166851919e-03       2.113057423653e+04 
       1.039263932848e-02       2.339604322527e+04 
       1.308355774624e-02       2.506466909942e+04 
       1.647122332339e-02       2.573287697768e+04 
       2.073604144620e-02       2.500195165133e+04 
       2.610500749115e-02       2.268119905650e+04 
       3.284735687610e-02       1.912400963444e+04 
       4.080217417438e-02       1.555069403742e+04 
       4.752786119205e-02       1.349478336921e+04 
       5.240216565685e-02       1.248516242244e+04 
       5.641865836786e-02       1.185627444111e+04 
       6.000336248239e-02       1.138179445971e+04 
       6.334591699044e-02       1.096787612125e+04 
       6.654657971312e-02       1.056528594628e+04 
       6.966541635250e-02       1.015042020253e+04 
       7.274185737009e-02       9.710437526183e+03 
       7.580367826388e-02       9.242391046227e+03 
       7.887159317544e-02       8.749100714496e+03 
       8.196180602242e-02       8.240957889014e+03 
       8.508752147709e-02       7.729392313126e+03 
       8.825988720581e-02       7.229017066985e+03 
       9.148860663816e-02       6.754012063773e+03 
       9.478235149266e-02       6.317077614184e+03 
       9.814904755039e-02       5.928038782889e+03 
       1.015960773337e-01       5.593169171100e+03 
       1.051304266145e-01       5.313126276610e+03 
       1.087587919124e-01       5.085072229055e+03 
       1.124876602471e-01       4.900823508300e+03 
       1.163233687487e-01       4.748113310222e+03 
       1.202721493965e-01       4.611638036673e+03 
       1.243401626482e-01       4.474742231491e+03 
       1.285335227237e-01       4.322464682117e+03 
       1.328583166488e-01       4.143037334713e+03 
       1.373206187244e-01       3.933256699318e+03 
       1.419265017934e-01       3.696669292617e+03 
       1.466820464847e-01       3.445311142552e+03 
       1.515933494914e-01       3.195838234546e+03 
       1.566665318568e-01       2.964593751393e+03 
       1.619077481961e-01       2.766301138525e+03 
       1.673231977473e-01       2.606749941989e+03 
       1.729191381271e-01       2.484463921186e+03 
       1.787019026538e-01       2.389131611557e+03 
       1.846779220901e-01       2.305016229255e+03 
       1.908537516553e-01       2.215711670326e+03 
       1.972361041584e-01       2.107494027828e+03 
       2.038318901168e-01       1.978632269435e+03 
       2.106482657592e-01       1.837788918048e+03 
       2.176926898668e-01       1.700247530780e+03 
       2.249729905048e-01       1.579540635692e+03 
       2.324974428435e-01       1.482683326156e+03 
       2.402748594821e-01       1.407962207654e+03 
       2.483146949938e-01       1.344764722513e+03 
       2.566271668244e-01       1.280102104487e+03 
       2.652233952399e-01       1.205850168740e+03 
       2.741155657651e-01       1.123117091365e+03 
       2.833171185453e-01       1.040959695572e+03 
       2.928429703751e-01       9.693174493688e+02 
       3.027097768681e-01       9.113536398795e+02 
       3.129362445547e-01       8.618541845053e+02 
       3.235435057951e-01       8.130108444007e+02 
       3.345555735983e-01       7.600612803129e+02 
       3.459998992083e-01       7.058941848605e+02 
       3.579080633395e-01       6.562561831761e+02 
       3.703166432603e-01       6.138463735176e+02 
       3.832683141392e-01       5.754037783284e+02 
       3.968132667078e-01       5.368267258341e+02 
       4.110110584011e-01       4.978513603170e+02 
       4.259330683257e-01       4.613806911917e+02 
       4.416658088136e-01       4.285472863185e+02 
       4.583154771270e-01       3.974976441024e+02 
       4.760143442353e-01       3.666904992647e+02 
       4.949299362244e-01       3.372634450515e+02 
       5.152785875667e-01       3.099413476205e+02 
       5.373460722608e-01       2.834001755905e+02 
       5.615201447495e-01       2.576384776516e+02 
       5.883440359264e-01       2.330258119759e+02 
       6.186087808940e-01       2.088817280056e+02 
       6.535219701578e-01       1.852392270866e+02 
       6.950376625520e-01       1.616868700877e+02 
       7.465528251250e-01       1.379325624337e+02 
       8.144961673512e-01       1.134552360184e+02 
       9.120829485287e-01       8.778537746369e+01 
       1.066311416656e+00       6.131705414906e+01 
       1.311968241857e+00       3.778814633002e+01 
       1.648861604757e+00       2.195146648906e+01 
       2.075739897151e+00       1.258638373429e+01 
       2.613201501938e+00       7.156803291620e+00 
       3.289825776820e+00       4.039530349769e+00 
       4.141645270814e+00       2.264382387049e+00 
       5.214022478065e+00       1.261642123173e+00 
