# Matter power spectrum P(k) at redshift z=0
# for k=1.04182e-05 to 5.31614 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.041817236165e-05       4.828849916081e+01 
       2.328070954425e-05       1.050377182962e+02 
       3.618830658940e-05       1.608760052676e+02 
       4.917559290691e-05       2.163709197155e+02 
       6.227776866284e-05       2.718502880208e+02 
       7.553091775611e-05       3.275627561471e+02 
       8.897233077026e-05       3.837228953465e+02 
       1.026408421843e-04       4.405297092949e+02 
       1.165771861600e-04       4.981761969731e+02 
       1.308243752561e-04       5.568551675097e+02 
       1.454281064265e-04       6.167633235995e+02 
       1.604371986019e-04       6.781044707200e+02 
       1.759040659807e-04       7.410922771518e+02 
       1.918852307897e-04       8.059528180002e+02 
       2.084418786335e-04       8.729270288859e+02 
       2.256404584893e-04       9.422731396492e+02 
       2.435533277707e-04       1.014269123005e+03 
       2.622594404543e-04       1.089215171599e+03 
       2.818450727717e-04       1.167436186853e+03 
       3.024045760931e-04       1.249284230335e+03 
       3.240411399959e-04       1.335140867113e+03 
       3.468675397178e-04       1.425419287575e+03 
       3.710068308739e-04       1.520566043588e+03 
       3.965929402025e-04       1.621062188795e+03 
       4.237710842261e-04       1.727423540279e+03 
       4.526979285512e-04       1.840199718682e+03 
       4.835413804238e-04       1.959971551002e+03 
       5.164798885485e-04       2.087346370507e+03 
       5.517011111036e-04       2.222950725259e+03 
       5.893998110479e-04       2.367420019694e+03 
       6.297748544831e-04       2.521384741725e+03 
       6.730252308583e-04       2.685453121486e+03 
       7.193450896238e-04       2.860190373732e+03 
       7.689178985729e-04       3.046095201593e+03 
       8.219099683430e-04       3.243574702291e+03 
       8.784637379513e-04       3.452919400897e+03 
       9.386913487734e-04       3.674280560782e+03 
       1.002669112829e-03       3.907652206105e+03 
       1.070433472020e-03       4.152860071132e+03 
       1.141978930099e-03       4.409559144616e+03 
       1.217258227060e-03       4.677240589132e+03 
       1.296184753732e-03       4.955247655040e+03 
       1.378636929769e-03       5.242777058445e+03 
       1.464464049904e-03       5.538952633612e+03 
       1.553492982640e-03       5.842847971875e+03 
       1.645535094786e-03       6.153483792150e+03 
       1.740392858057e-03       6.469872608331e+03 
       1.837865735481e-03       6.791042255656e+03 
       1.937755106491e-03       7.116054677413e+03 
       2.039868138098e-03       7.444020355679e+03 
       2.144020626153e-03       7.774107690694e+03 
       2.250038908493e-03       8.105548873130e+03 
       2.357760993548e-03       8.437643168954e+03 
       2.467037061212e-03       8.769754629766e+03 
       2.577729486653e-03       9.101312704708e+03 
       2.689712520388e-03       9.431806809350e+03 
       2.802871735693e-03       9.760784014054e+03 
       2.917103331513e-03       1.008784304896e+04 
       3.032313357984e-03       1.041263168429e+04 
       3.148416913645e-03       1.073483985909e+04 
       3.265337348750e-03       1.105419802618e+04 
       3.383005497657e-03       1.137047062368e+04 
       3.501358954601e-03       1.168345386419e+04 
       3.620341400847e-03       1.199297177745e+04 
       3.739901986740e-03       1.229887455294e+04 
       3.859994769071e-03       1.260103196390e+04 
       3.980578202161e-03       1.289933741293e+04 
       4.101614679831e-03       1.319369817832e+04 
       4.223070124687e-03       1.348404030408e+04 
       4.344913620846e-03       1.377030073522e+04 
       4.467117086146e-03       1.405243177972e+04 
       4.589654979987e-03       1.433039467469e+04 
       4.712504043145e-03       1.460415444357e+04 
       4.835643066145e-03       1.487365382132e+04 
       4.959052683091e-03       1.513898157422e+04 
       5.082715188100e-03       1.540001868632e+04 
       5.206614371811e-03       1.565683711501e+04 
       5.330735375673e-03       1.590945819603e+04 
       5.455064561992e-03       1.615788288047e+04 
       5.579589397928e-03       1.640206936156e+04 
       5.704298351840e-03       1.664132140147e+04 
       5.829180800583e-03       1.687712920885e+04 
       5.954226946494e-03       1.710877250984e+04 
       6.079427742979e-03       1.733622949077e+04 
       6.204774827729e-03       1.755966965982e+04 
       6.330260462711e-03       1.777918246575e+04 
       6.455877480178e-03       1.799483551272e+04 
       6.581619234040e-03       1.820592138407e+04 
       6.707479556009e-03       1.841318779580e+04 
       6.833452715994e-03       1.861646155816e+04 
       6.959533386302e-03       1.881587765648e+04 
       7.085716609224e-03       1.901141700859e+04 
       7.211997767672e-03       1.920301073732e+04 
       7.338372558520e-03       1.939088939092e+04 
       7.464836968405e-03       1.957483386541e+04 
       7.591387251702e-03       1.975574176920e+04 
       7.718019910480e-03       1.993236735905e+04 
       7.844731676227e-03       2.010533497162e+04 
       7.971519493174e-03       2.027466911970e+04 
       8.098380503065e-03       2.044040708736e+04 
       8.225312031218e-03       2.060263097768e+04 
       8.352311573782e-03       2.076132822567e+04 
       8.479376786044e-03       2.091653937271e+04 
       8.606505471712e-03       2.106830790336e+04 
       8.733695573073e-03       2.121667420080e+04 
       8.860945161949e-03       2.136166820774e+04 
       8.988252431379e-03       2.150330167878e+04 
       9.115615687958e-03       2.164166346254e+04 
       9.243033344782e-03       2.177677023477e+04 
       9.370503914939e-03       2.190866323340e+04 
       9.498026005505e-03       2.203735832382e+04 
       9.625598311996e-03       2.216288576373e+04 
       9.753219613242e-03       2.228536081979e+04 
       9.880888766646e-03       2.240468150117e+04 
       1.000860470379e-02       2.252097749930e+04 
       1.013636642638e-02       2.263426031070e+04 
       1.026417300247e-02       2.274391531689e+04 
       1.039202356299e-02       2.285199666666e+04 
       1.051991729845e-02       2.295637342316e+04 
       1.064785345603e-02       2.305793662219e+04 
       1.077583133668e-02       2.315665337614e+04 
       1.090385029262e-02       2.325255521195e+04 
       1.103190972486e-02       2.334568568803e+04 
       1.116000908101e-02       2.343606595811e+04 
       1.128814785315e-02       2.352372987332e+04 
       1.141632557593e-02       2.360877333016e+04 
       1.154454182478e-02       2.369098261482e+04 
       1.167279621416e-02       2.377067837124e+04 
       1.180108839610e-02       2.384779890784e+04 
       1.192941805868e-02       2.392232561761e+04 
       1.205778492469e-02       2.399433717233e+04 
       1.218618875041e-02       2.406376619494e+04 
