# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 10.3191 h/Mpc,
# number of wavenumbers equal to 321
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048918815428e-05       4.788039431359e+01 
       1.098352836223e-05       5.005593814259e+01 
       1.150116610641e-05       5.233033653545e+01 
       1.204319936590e-05       5.470806569535e+01 
       1.261077786590e-05       5.719384007540e+01 
       1.320510551652e-05       5.979255485455e+01 
       1.382744296637e-05       6.250934395733e+01 
       1.447911027663e-05       6.534957597455e+01 
       1.516148972104e-05       6.831885090033e+01 
       1.587602871788e-05       7.142303137562e+01 
       1.662424290017e-05       7.466825833007e+01 
       1.740771933050e-05       7.806095258629e+01 
       1.822811986742e-05       8.160777797538e+01 
       1.908718469047e-05       8.531575282146e+01 
       1.998673599131e-05       8.919219762567e+01 
       2.092868183886e-05       9.324475750518e+01 
       2.191502022654e-05       9.748145964282e+01 
       2.294784331032e-05       1.019106500465e+02 
       2.402934184644e-05       1.065410676219e+02 
       2.516180983828e-05       1.113818612646e+02 
       2.634764940229e-05       1.164425864264e+02 
       2.758937586318e-05       1.217332362123e+02 
       2.888962308924e-05       1.272642487120e+02 
       3.025114907917e-05       1.330465437969e+02 
       3.167684181214e-05       1.390915321154e+02 
       3.316972537359e-05       1.454111495782e+02 
       3.473296636969e-05       1.520178639380e+02 
       3.636988064420e-05       1.589247147321e+02 
       3.808394031174e-05       1.661453304311e+02 
       3.987878112269e-05       1.736939597556e+02 
       4.175821017505e-05       1.815854938697e+02 
       4.372621398980e-05       1.898355041107e+02 
       4.578696696690e-05       1.984602616233e+02 
       4.794484023971e-05       2.074767821115e+02 
       5.020441094674e-05       2.169028437246e+02 
       5.257047194041e-05       2.267570359778e+02 
       5.504804195331e-05       2.370587839406e+02 
       5.764237624361e-05       2.478284032771e+02 
       6.035897774218e-05       2.590871157932e+02 
       6.320360872500e-05       2.708571097892e+02 
       6.618230303579e-05       2.831615772476e+02 
       6.930137888453e-05       2.960247499511e+02 
       7.256745224928e-05       3.094719657248e+02 
       7.598745090955e-05       3.235296973784e+02 
       7.956862914100e-05       3.382256129017e+02 
       8.331858310282e-05       3.535886289040e+02 
       8.724526695011e-05       3.696489614110e+02 
       9.135700970578e-05       3.864381896951e+02 
       9.566253292749e-05       4.039893081139e+02 
       1.001709692072e-04       4.223367946505e+02 
       1.048918815428e-04       4.415166732490e+02 
       1.098352836223e-04       4.615665817051e+02 
       1.150116610641e-04       4.825258405997e+02 
       1.204319936590e-04       5.044355271712e+02 
       1.261077786590e-04       5.273385500183e+02 
       1.320510551652e-04       5.512797279696e+02 
       1.382744296637e-04       5.763058710866e+02 
       1.447911027663e-04       6.024658629348e+02 
       1.516148972104e-04       6.298107521747e+02 
       1.587602871788e-04       6.583938362241e+02 
       1.662424290017e-04       6.882707588685e+02 
       1.740771933050e-04       7.194996053329e+02 
       1.822811986742e-04       7.521409986928e+02 
       1.908718469047e-04       7.862582029641e+02 
       1.998673599131e-04       8.219172272223e+02 
       2.092868183886e-04       8.591869326059e+02 
       2.191502022654e-04       8.981391436632e+02 
       2.294784331032e-04       9.388487555783e+02 
       2.402934184644e-04       9.813938530876e+02 
       2.516180983828e-04       1.025855824825e+03 
       2.634764940229e-04       1.072319479512e+03 
       2.758937586318e-04       1.120873168001e+03 
       2.888962308924e-04       1.171608902950e+03 
       3.025114907917e-04       1.224622476150e+03 
       3.167684181215e-04       1.280013586294e+03 
       3.316972537359e-04       1.337885954167e+03 
       3.473296636969e-04       1.398347446863e+03 
       3.636988064420e-04       1.461510194410e+03 
       3.808394031174e-04       1.527490708581e+03 
       3.987878112269e-04       1.596409996244e+03 
       4.175821017505e-04       1.668393670669e+03 
       4.372621398980e-04       1.743572060027e+03 
       4.578696696690e-04       1.822080310498e+03 
       4.794484023971e-04       1.904058477742e+03 
       5.020441094674e-04       1.989651622108e+03 
       5.257047194041e-04       2.079009888173e+03 
       5.504804195331e-04       2.172288575234e+03 
       5.764237624361e-04       2.269648200572e+03 
       6.035897774218e-04       2.371254543450e+03 
       6.320360872500e-04       2.477278672383e+03 
       6.618230303579e-04       2.587896971828e+03 
       6.930137888453e-04       2.703291107878e+03 
       7.256745224928e-04       2.823648009446e+03 
       7.598745090955e-04       2.949159780775e+03 
       7.956862914100e-04       3.080023596211e+03 
       8.331858310282e-04       3.216441550850e+03 
       8.724526695011e-04       3.358620434149e+03 
       9.135700970578e-04       3.506771463891e+03 
       9.566253292749e-04       3.661109963834e+03 
       1.001709692072e-03       3.821854951749e+03 
       1.048918815428e-03       3.989228640446e+03 
       1.098352836223e-03       4.163455911173e+03 
       1.150116610641e-03       4.344763679670e+03 
       1.204319936590e-03       4.533380147199e+03 
       1.261077786590e-03       4.729534075691e+03 
       1.320510551652e-03       4.933453941818e+03 
       1.382744296637e-03       5.145348204017e+03 
       1.447911027663e-03       5.365447858315e+03 
       1.516148972104e-03       5.593984402302e+03 
       1.587602871788e-03       5.831174198436e+03 
       1.662424290017e-03       6.077227532920e+03 
       1.740771933050e-03       6.332346951316e+03 
       1.822811986742e-03       6.596725629504e+03 
       1.908718469047e-03       6.870545562312e+03 
       1.998673599131e-03       7.153975789312e+03 
       2.092868183886e-03       7.447170248990e+03 
       2.191502022654e-03       7.750266008741e+03 
       2.294784331032e-03       8.063381100707e+03 
       2.402934184644e-03       8.386612721794e+03 
       2.516180983828e-03       8.720031259650e+03 
       2.634764940229e-03       9.063684965680e+03 
       2.758937586318e-03       9.417589826081e+03 
       2.888962308924e-03       9.781730015931e+03 
       3.025114907917e-03       1.015605446631e+04 
       3.167684181215e-03       1.054047333566e+04 
       3.316972537359e-03       1.093485378958e+04 
       3.473296636969e-03       1.133901626175e+04 
       3.636988064420e-03       1.175273198683e+04 
       3.808394031174e-03       1.217571520444e+04 
       3.987878112269e-03       1.260762805966e+04 
       4.175821017505e-03       1.304806471649e+04 
       4.372621398980e-03       1.349655310219e+04 
       4.578696696690e-03       1.395255420618e+04 
       4.794484023971e-03       1.441544453627e+04 
       5.020441094674e-03       1.488451638962e+04 
       5.257047194041e-03       1.535900279270e+04 
       5.504804195331e-03       1.583801979771e+04 
       5.764237624361e-03       1.632056782023e+04 
       6.035897774218e-03       1.680555875230e+04 
       6.320360872500e-03       1.729179999247e+04 
       6.618230303579e-03       1.777797995945e+04 
       6.930137888453e-03       1.826266477085e+04 
       7.256745224929e-03       1.874431319374e+04 
       7.598745090955e-03       1.922123387030e+04 
       7.956862914100e-03       1.969161946519e+04 
       8.331858310282e-03       2.015352924693e+04 
       8.724526695011e-03       2.060490521770e+04 
       9.135700970578e-03       2.104352235756e+04 
       9.566253292749e-03       2.146703407026e+04 
       1.001709692072e-02       2.187292911262e+04 
       1.048918815428e-02       2.225856353535e+04 
       1.098352836223e-02       2.262117581474e+04 
       1.150116610641e-02       2.295788324294e+04 
       1.204319936590e-02       2.326570752224e+04 
       1.261077786590e-02       2.354160198716e+04 
       1.320510551652e-02       2.378248843079e+04 
       1.382744296637e-02       2.398520804385e+04 
       1.447911027663e-02       2.414655637260e+04 
       1.516148972102e-02       2.426336340792e+04 
       1.587602871779e-02       2.433249620691e+04 
