# Matter power spectrum P(k) at redshift z=0
# for k=1.03921e-05 to 10.2236 h/Mpc,
# number of wavenumbers equal to 321
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039206958366e-05       4.901980427871e+01 
       1.088183273438e-05       5.124865274542e+01 
       1.139467771129e-05       5.357884604131e+01 
       1.193169232733e-05       5.601497893763e+01 
       1.249401566250e-05       5.856186685275e+01 
       1.308284048000e-05       6.122457312946e+01 
       1.369941575621e-05       6.400832719733e+01 
       1.434504932994e-05       6.691864623853e+01 
       1.502111067658e-05       6.996127605653e+01 
       1.572903381288e-05       7.314224360664e+01 
       1.647032033872e-05       7.646783429547e+01 
       1.724654262222e-05       7.994462593054e+01 
       1.805934713491e-05       8.357948256613e+01 
       1.891045794412e-05       8.737955280019e+01 
       1.980168037000e-05       9.135244834304e+01 
       2.073490481481e-05       9.550589344114e+01 
       2.171211077271e-05       9.984820754699e+01 
       2.273537102854e-05       1.043879195815e+02 
       2.380685605452e-05       1.091339936801e+02 
       2.492883861402e-05       1.140958266710e+02 
       2.610369858250e-05       1.192831933244e+02 
       2.733392799545e-05       1.247063696655e+02 
       2.862213633440e-05       1.303760490304e+02 
       2.997105606196e-05       1.363034567815e+02 
       3.138354841771e-05       1.425002669115e+02 
       3.286260948732e-05       1.489787266999e+02 
       3.441137655762e-05       1.557516279516e+02 
       3.603313477122e-05       1.628323093322e+02 
       3.773132409471e-05       1.702348190216e+02 
       3.950954661533e-05       1.779736940602e+02 
       4.137157418146e-05       1.860642467081e+02 
       4.332135640321e-05       1.945224064548e+02 
       4.536302903009e-05       2.033648497002e+02 
       4.750092272347e-05       2.126090351587e+02 
       4.973957224250e-05       2.222731565919e+02 
       5.208372606297e-05       2.323762583339e+02 
       5.453835644939e-05       2.429382523126e+02 
       5.710867000194e-05       2.539798964746e+02 
       5.980011870025e-05       2.655229389926e+02 
       6.261841146786e-05       2.775900986981e+02 
       6.556952628159e-05       2.902050991663e+02 
       6.865972285163e-05       3.033927508573e+02 
       7.189555589920e-05       3.171789000485e+02 
       7.528388906005e-05       3.315906142731e+02 
       7.883190944307e-05       3.466561807818e+02 
       8.254714287520e-05       3.624051204018e+02 
       8.643746986466e-05       3.788682531028e+02 
       9.051114231658e-05       3.960778293557e+02 
       9.477680103639e-05       4.140674805029e+02 
       9.924349405814e-05       4.328723312685e+02 
       1.039206958366e-04       4.525290836200e+02 
       1.088183273438e-04       4.730760427106e+02 
       1.139467771129e-04       4.945531950737e+02 
       1.193169232733e-04       5.170023089086e+02 
       1.249401566250e-04       5.404669675156e+02 
       1.308284048000e-04       5.649926648637e+02 
       1.369941575621e-04       5.906268727307e+02 
       1.434504932994e-04       6.174191944518e+02 
       1.502111067658e-04       6.454213205668e+02 
       1.572903381288e-04       6.746872314254e+02 
       1.647032033872e-04       7.052732364901e+02 
       1.724654262222e-04       7.372381035761e+02 
       1.805934713491e-04       7.706432039052e+02 
       1.891045794412e-04       8.055525280756e+02 
       1.980168037000e-04       8.420328325225e+02 
       2.073490481481e-04       8.801538547536e+02 
       2.171211077271e-04       9.199883515639e+02 
       2.273537102854e-04       9.616123219444e+02 
       2.380685605452e-04       1.005105074309e+03 
       2.492883861402e-04       1.050549505192e+03 
       2.610369858250e-04       1.098032195647e+03 
       2.733392799545e-04       1.147643638765e+03 
       2.862213633440e-04       1.199478429476e+03 
       2.997105606196e-04       1.253635487950e+03 
       3.138354841771e-04       1.310218275852e+03 
       3.286260948732e-04       1.369335033178e+03 
       3.441137655762e-04       1.431098990935e+03 
       3.603313477122e-04       1.495628623052e+03 
       3.773132409471e-04       1.563047832116e+03 
       3.950954661533e-04       1.633486179050e+03 
       4.137157418146e-04       1.707079065909e+03 
       4.332135640321e-04       1.783967866163e+03 
       4.536302903009e-04       1.864300050155e+03 
       4.750092272347e-04       1.948229260188e+03 
       4.973957224250e-04       2.035915320217e+03 
       5.208372606297e-04       2.127524194850e+03 
       5.453835644939e-04       2.223227897580e+03 
       5.710867000194e-04       2.323204337515e+03 
       5.980011870025e-04       2.427637115457e+03 
       6.261841146786e-04       2.536715237414e+03 
       6.556952628159e-04       2.650632881631e+03 
       6.865972285163e-04       2.769588935982e+03 
       7.189555589921e-04       2.893786783222e+03 
       7.528388906005e-04       3.023433766924e+03 
       7.883190944307e-04       3.158741032554e+03 
       8.254714287520e-04       3.299922764759e+03 
       8.643746986466e-04       3.447196391530e+03 
       9.051114231658e-04       3.600781523130e+03 
       9.477680103639e-04       3.760900058962e+03 
       9.924349405814e-04       3.927775894872e+03 
       1.039206958366e-03       4.101634095766e+03 
       1.088183273438e-03       4.282700885638e+03 
       1.139467771129e-03       4.471202993992e+03 
       1.193169232733e-03       4.667367587331e+03 
       1.249401566250e-03       4.871421526967e+03 
       1.308284048000e-03       5.083590618361e+03 
       1.369941575621e-03       5.304078568888e+03 
       1.434504932994e-03       5.533116392103e+03 
       1.502111067658e-03       5.770931879188e+03 
       1.572903381288e-03       6.017738915322e+03 
       1.647032033872e-03       6.273746092107e+03 
       1.724654262222e-03       6.539154448779e+03 
       1.805934713491e-03       6.814156184001e+03 
       1.891045794412e-03       7.098932670344e+03 
       1.980168037000e-03       7.393652753859e+03 
       2.073490481481e-03       7.698469955029e+03 
       2.171211077271e-03       8.013521221202e+03 
       2.273537102854e-03       8.338923854969e+03 
       2.380685605452e-03       8.674773304126e+03 
       2.492883861402e-03       9.021139943607e+03 
       2.610369858250e-03       9.378067194967e+03 
       2.733392799545e-03       9.745567619634e+03 
       2.862213633440e-03       1.012362009585e+04 
       2.997105606196e-03       1.051216659936e+04 
       3.138354841771e-03       1.091110870027e+04 
       3.286260948732e-03       1.132030345936e+04 
       3.441137655762e-03       1.173955960142e+04 
       3.603313477122e-03       1.216863402688e+04 
       3.773132409471e-03       1.260722516060e+04 
       3.950954661533e-03       1.305497706624e+04 
       4.137157418146e-03       1.351146369879e+04 
       4.332135640321e-03       1.397619230863e+04 
       4.536302903009e-03       1.444859588242e+04 
       4.750092272347e-03       1.492802906095e+04 
       4.973957224250e-03       1.541376559266e+04 
       5.208372606297e-03       1.590497507441e+04 
       5.453835644939e-03       1.640074691536e+04 
       5.710867000194e-03       1.690005296432e+04 
       5.980011870025e-03       1.740177379805e+04 
       6.261841146786e-03       1.790467099968e+04 
       6.556952628159e-03       1.840736467288e+04 
       6.865972285163e-03       1.890837865415e+04 
       7.189555589921e-03       1.940611131962e+04 
       7.528388906005e-03       1.989880618700e+04 
       7.883190944307e-03       2.038457783799e+04 
       8.254714287520e-03       2.086140995151e+04 
       8.643746986466e-03       2.132715214216e+04 
       9.051114231658e-03       2.177950666652e+04 
       9.477680103639e-03       2.221604922630e+04 
       9.924349405814e-03       2.263419205151e+04 
       1.039206958366e-02       2.303118465299e+04 
       1.088183273438e-02       2.340419118012e+04 
       1.139467771129e-02       2.375018954547e+04 
